time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,yaw,pitch,roll,dB,Weight,Reps,RPE,Set,Lift,Order
2026-03-27T04:28:54.241Z,-0.1266,-0.9167,0.3844,-0.0587,0.0104,-0.0387,0.0027,-0.0027,-0.0048,-29.69,66.33,-160.74,52.63,95,8,6,4,Bench,1
2026-03-27T04:28:54.249Z,-0.1279,-0.9178,0.3851,-0.049,0.013,-0.0616,0.0019,0.001,-0.0038,-29.69,66.32,-160.74,52.63,95,8,6,4,Bench,1
2026-03-27T04:28:54.258Z,-0.1279,-0.9178,0.3851,-0.049,0.013,-0.0616,0.0027,-0.0031,-0.0041,-29.69,66.32,-160.74,52.63,95,8,6,4,Bench,1
2026-03-27T04:28:54.269Z,-0.1279,-0.9167,0.3799,-0.0423,0.0115,-0.0104,0.0008,-0.002,-0.0051,-29.69,66.32,-160.74,43.09,95,8,6,4,Bench,1
2026-03-27T04:28:54.277Z,-0.1279,-0.9167,0.3799,-0.0423,0.0115,-0.0104,0.0009,-0.0002,-0.0037,-29.69,66.32,-160.74,43.09,95,8,6,4,Bench,1
2026-03-27T04:28:54.291Z,-0.1286,-0.9173,0.3799,-0.0384,0.0123,-0.0094,0.0017,-0.0007,-0.0032,-29.69,66.32,-160.74,43.09,95,8,6,4,Bench,1
2026-03-27T04:28:54.299Z,-0.129,-0.9179,0.3783,-0.0347,0.0211,0.0008,0.0011,-0.0028,-0.0025,-29.68,66.32,-160.74,43.09,95,8,6,4,Bench,1
2026-03-27T04:28:54.307Z,-0.129,-0.9179,0.3783,-0.0347,0.0211,0.0008,0.0019,-0.0019,-0.0046,-29.68,66.32,-160.74,43.09,95,8,6,4,Bench,1
2026-03-27T04:28:54.319Z,-0.132,-0.918,0.3783,-0.0192,0.0206,0.0099,0.0037,-0.0034,-0.0053,-29.68,66.33,-160.74,43.09,95,8,6,4,Bench,1
2026-03-27T04:28:54.332Z,-0.1338,-0.9178,0.376,0.0088,0.0205,0.0179,0.003,-0.0008,-0.0042,-29.68,66.33,-160.74,43.09,95,8,6,4,Bench,1
2026-03-27T04:28:54.337Z,-0.1338,-0.9178,0.376,0.0088,0.0205,0.0179,0.0043,0.0013,-0.0017,-29.68,66.33,-160.74,43.09,95,8,6,4,Bench,1
2026-03-27T04:28:54.348Z,-0.134,-0.9172,0.3771,0.0124,0.0205,0.0256,0.0029,-0.0026,-0.002,-29.69,66.33,-160.74,43.09,95,8,6,4,Bench,1
